date,start_time,duration_min,distance_km,avg_speed_kmh,max_speed_kmh,elevation_gain_m,workout_type,intensity,location,time_of_day,hour,avg_lat,avg_lon,n_points,filename
2016-10-09,2016-10-09T01:02:42+00:00,58.2,7.96,8.2,12.4,239.0,running,easy,us,early_morning,1,9.6858,100.0516,3507,route_2016-10-08_10.00pm.gpx
2016-10-18,2016-10-18T16:44:19+00:00,56.1,10.56,12.0,14.2,170.0,running,easy,israel,afternoon,16,32.1027,34.7768,3049,route_2016-10-18_1.40pm.gpx
2016-10-21,2016-10-21T14:10:11+00:00,74.4,13.53,11.7,13.6,252.0,running,easy,israel,afternoon,14,32.0593,34.7605,3886,route_2016-10-21_11.24am.gpx
2016-10-29,2016-10-29T22:34:24+00:00,17.1,3.11,11.6,13.8,55.0,running,easy,us,evening,22,37.7948,-122.4208,862,route_2016-10-29_6.51pm.gpx
2016-10-29,2016-10-29T22:57:26+00:00,57.9,10.31,12.0,14.0,132.0,running,easy,us,evening,22,37.8059,-122.4513,2919,route_2016-10-29_7.55pm.gpx
2016-11-01,2016-11-01T14:26:18+00:00,23.3,4.48,12.5,14.0,42.0,running,easy,us,afternoon,14,47.6247,-122.3704,1233,route_2016-11-01_10.49am.gpx
2016-11-14,2016-11-14T15:43:07+00:00,54.9,10.22,11.9,14.0,190.0,running,easy,us,afternoon,15,33.9949,-118.4757,2960,route_2016-11-14_11.37am.gpx
2016-11-25,2016-11-25T19:19:09+00:00,37.8,4.11,6.5,12.5,163.0,walking,easy,us,evening,19,39.2506,-120.0137,2275,route_2016-11-25_2.56pm.gpx
2016-12-04,2016-12-04T03:25:29+00:00,66.5,11.31,11.0,13.1,204.0,running,easy,us,early_morning,3,37.7997,-122.4259,3401,route_2016-12-03_11.31pm.gpx
2016-12-17,2016-12-17T18:57:01+00:00,75.4,11.95,11.7,14.0,329.0,running,easy,us,evening,18,47.6396,-122.3351,3403,route_2016-12-17_3.12pm.gpx
2016-12-23,2016-12-23T07:37:59+00:00,73.9,13.75,11.6,14.2,188.0,running,easy,israel,morning,7,32.059,34.7607,4103,route_2016-12-23_3.51am.gpx
2016-12-24,2016-12-24T09:16:17+00:00,57.3,11.27,12.0,13.9,150.0,running,easy,israel,morning,9,32.103,34.7805,3373,route_2016-12-24_5.13am.gpx
2016-12-27,2016-12-27T05:22:25+00:00,43.0,8.39,12.2,14.0,62.0,running,easy,israel,early_morning,5,32.0688,34.7628,2346,route_2016-12-27_1.05am.gpx
2016-12-31,2016-12-31T08:51:03+00:00,68.8,13.01,12.0,13.8,194.0,running,easy,israel,morning,8,32.1018,34.7805,3733,route_2016-12-31_4.59am.gpx
2017-01-07,2017-01-07T16:25:51+00:00,20.9,4.15,11.8,13.4,63.0,running,easy,us,afternoon,16,38.3714,-122.5403,1166,route_2017-01-07_11.46am.gpx
2017-01-07,2017-01-07T16:47:27+00:00,20.6,4.06,11.8,13.0,90.0,running,easy,us,afternoon,16,38.3706,-122.5384,1203,route_2017-01-07_12.08pm.gpx
2017-01-13,2017-01-13T20:18:36+00:00,43.0,8.0,11.8,14.3,81.0,running,easy,us,evening,20,37.8051,-122.4119,2323,route_2017-01-13_4.01pm.gpx
2017-01-17,2017-01-17T01:30:51+00:00,51.6,9.42,11.6,14.0,100.0,running,easy,us,early_morning,1,47.6163,-122.356,2874,route_2017-01-16_9.22pm.gpx
2017-01-25,2017-01-25T14:43:08+00:00,38.6,7.77,12.3,14.3,56.0,running,easy,us,afternoon,14,37.8052,-122.459,2268,route_2017-01-25_10.21am.gpx
2017-02-05,2017-02-05T00:31:31+00:00,9.9,2.06,12.7,14.1,9.0,running,easy,us,early_morning,0,37.8052,-122.4377,579,route_2017-02-04_7.41pm.gpx
2017-02-12,2017-02-12T16:39:52+00:00,99.9,11.22,10.7,12.4,160.0,running,easy,us,afternoon,16,37.7722,-122.4543,3591,route_2017-02-12_1.19pm.gpx
2017-03-12,2017-03-12T17:37:21+00:00,18.9,3.45,11.3,13.6,56.0,running,easy,us,afternoon,17,37.7726,-122.4375,1041,route_2017-03-12_1.56pm.gpx
2017-03-19,2017-03-19T04:16:55+00:00,38.9,7.5,11.7,14.0,53.0,running,easy,israel,early_morning,4,32.0679,34.7621,2309,route_2017-03-19_12.55am.gpx
2017-03-21,2017-03-21T05:34:54+00:00,39.3,7.74,12.5,13.8,63.0,running,easy,israel,early_morning,5,32.0683,34.7622,2234,route_2017-03-21_2.14am.gpx
2017-03-23,2017-03-23T05:05:36+00:00,35.1,6.03,11.1,14.0,55.0,running,easy,israel,early_morning,5,32.0641,34.7622,1915,route_2017-03-23_1.40am.gpx
2017-03-24,2017-03-24T13:31:55+00:00,46.1,9.23,12.4,14.1,92.0,running,easy,israel,midday,13,32.1048,34.7764,2667,route_2017-03-24_10.18am.gpx
2017-03-27,2017-03-27T04:56:24+00:00,5.5,1.13,12.4,14.0,7.0,running,easy,israel,early_morning,4,32.099,34.7741,334,route_2017-03-27_1.01am.gpx
2017-04-19,2017-04-19T03:19:12+00:00,55.0,9.69,10.5,12.4,100.0,running,easy,us,early_morning,3,37.772,-122.4539,3296,route_2017-04-19_12.14am.gpx
2017-04-29,2017-04-29T18:35:42+00:00,57.4,9.81,10.9,13.0,153.0,running,easy,us,evening,18,37.7717,-122.463,3119,route_2017-04-29_3.33pm.gpx
2017-05-17,2017-05-17T03:37:29+00:00,45.6,8.28,11.4,13.5,126.0,running,easy,israel,early_morning,3,32.0657,34.7661,2502,route_2017-05-17_12.23am.gpx
2017-05-20,2017-05-20T11:02:45+00:00,78.2,13.75,11.7,13.7,397.0,running,easy,israel,midday,11,32.0947,34.7845,3936,route_2017-05-20_8.20am.gpx
2017-06-03,2017-06-03T18:56:51+00:00,45.4,8.25,11.4,13.3,201.0,running,easy,us,evening,18,37.7717,-122.4641,2510,route_2017-06-03_3.42pm.gpx
2017-06-03,2017-06-03T19:43:40+00:00,17.2,3.21,11.8,13.4,34.0,running,easy,us,evening,19,37.7723,-122.4466,962,route_2017-06-03_4.00pm.gpx
2017-06-05,2017-06-05T11:26:19+00:00,63.2,12.04,12.0,13.6,184.0,running,easy,us,midday,11,39.9726,-75.1886,3465,route_2017-06-05_8.29am.gpx
2017-06-17,2017-06-17T19:16:54+00:00,65.9,12.48,12.0,13.9,153.0,running,easy,us,evening,19,37.7717,-122.4607,3511,route_2017-06-17_4.22pm.gpx
